YEAR_ID,MONTH_ID,SEQ,CUTOFF_DATE,BORROWER_COUNT,BORROWER_CODE_NAME,JOINT,LENDING UNIT,LG,Major Industry,Account/Loan Type,Customer Size,Development Lending Program,Location,Region,Account Class,Interest Rate,Interest Type,Type of Facility,Collateral Type,Collateral Type Description,Source,Loan Term,No. of Days-Loan Term,Past Due Date,Loan Status,Area Code,   NPL   ,   Sum of Sum of Approved Amount   ,   Sum of Sum of Collateral Amount   ,   Sum of Sum of Release Amount   ,   Sum of Sum of Booked Reserves   ,   Sum of Sum of Loan Portfolio   ,MONTH_YEAR,GDP,INFL,UNEMP,USD,Month Name,IS_NPL,Interest Rate Range
2019,12,1,12/31/2019,1,BORROWER_1,BORROWER_1-2019-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,CURRENT,10,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA, -   ,"49,000,000.00", -   ,"7,000,000.00", -   ,"7,000,000.00",19-Dec,6.6,2.4,4.59,50.7671,DEC,0,10.00% - 11.99%
2020,12,5,12/31/2020,1,BORROWER_1,BORROWER_1-2020-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,CURRENT,9,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,119,,CUR,PA, -   ,"60,000,000.00", -   ,"10,000,000.00", -   ,"10,000,000.00",20-Dec,-8.2,3.3,8.74,48.0637,DEC,0,8.00% - 9.99%
2021,12,9,12/31/2021,1,BORROWER_1,BORROWER_1-2021-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,118,,CUR,PA, -   ,"91,000,000.00", -   ,"10,000,000.00","332,901.56","10,000,000.00",21-Dec,7.9,3.1,6.6,50.2478,DEC,0,8.00% - 9.99%
2022,12,13,12/31/2022,1,BORROWER_1,BORROWER_1-2022-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,8,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,120,,CUR,PA, -   ,"180,000,000.00", -   ,"13,000,000.00","615,667.50","13,000,000.00",22-Dec,7.1,8.1,4.3,55.6839,DEC,0,8.00% - 9.99%
2023,12,17,12/31/2023,1,BORROWER_1,BORROWER_1-2023-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,31,,CUR,PA, -   ,"195,000,000.00", -   ,"14,900,000.00", -   ,"14,900,000.00",23-Dec,5.54,3.9,3.1,55.5877,DEC,0,8.00% - 9.99%
2024,12,21,12/31/2024,1,BORROWER_1,BORROWER_1-2024-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,90,,CUR,PA, -   ,"210,000,000.00", -   ,"15,000,000.00", -   ,"15,000,000.00",24-Dec,5.3,2.9,3.1,58.448,DEC,0,8.00% - 9.99%
2025,12,25,12/31/2025,1,BORROWER_1,BORROWER_1-2025-12,SME (NCR) DEPARTMENT,SMERMMLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Small,MSME CENTER SEED,METRO MANILA,National Capital Region,PASS,9.5,Variable,REVOLVING CREDIT LINE,Unsecured,(blank),DBP,Short Term,120,2/14/2025,PDO,NPA,"14,950,000.00","210,000,000.00", -   ,"14,950,000.00","14,950,000.00","14,950,000.00",2025-12,3,1.8,4.4,58.8488,DEC,1,8.00% - 9.99%
2019,12,1,12/31/2019,1,BORROWER_100,BORROWER_100-2019-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,"444,196.54","444,196.54","444,196.54","444,196.54","444,196.54","444,196.54",19-Dec,6.6,2.4,4.59,50.7671,DEC,1,15.00% - 19.99%
2020,12,5,12/31/2020,1,BORROWER_100,BORROWER_100-2020-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,"444,196.54","444,196.54","444,196.54","444,196.54","444,196.54","444,196.54",20-Dec,-8.2,3.3,8.74,48.0637,DEC,1,15.00% - 19.99%
2021,12,9,12/31/2021,1,BORROWER_100,BORROWER_100-2021-12,ILAGAN LENDING CENTER,NCLLG,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,SME Loans - Small,Micro,No Program,ISABELA,Cagayan Valley,LOSS,18,Fixed,TERM LOAN,Secured,REAL ESTATE,DBP,Short Term,366,5/21/1999,PDO,NPA,"444,196.54","444,196.54","444,196.54","444,196.54","444,196.54","444,196.54",21-Dec,7.9,3.1,6.6,50.2478,DEC,1,15.00% - 19.99%
